COMID,LAKE_NAME,LON_NAD83,LAT_NAD83,VARIABLE,THRESHOLD,BLOOM_MAG,PROB_EXCEED,CI_97.5PERC,CI_2.5PERC
17843270,El Vado Reservoir,-106.7462806,36.62298971,microcystin,0.2,0.00174879,0.116378978,0.176606428,0.074824224
1791863,Boulder Lake Reservoir,-92.17213149,47.06425285,microcystin,0.2,0.019881145,0.200043888,0.268682675,0.145452348
1792677,Island Lake Reservoir,-92.20790853,46.99185183,microcystin,0.2,0.002912331,0.120677102,0.181351404,0.078359412
1792789,Fish Lake Reservoir,-92.274365,46.94327002,microcystin,0.2,0.039391967,0.332672701,0.425005151,0.25162144
1792897,Grand Lake,-92.40402873,46.87556547,microcystin,0.2,0.002154576,0.117862648,0.178246197,0.076042019
17931796,Lake Washington,-91.05669637,33.09991908,microcystin,0.2,0.133853075,0.93364043,0.981146373,0.791829803
1793523,Wild Rice Lake Reservoir,-92.18540675,46.89121983,microcystin,0.2,0.016744473,0.182883531,0.249582408,0.130900107
18014672,Granada Reservoir,-89.72131595,33.8389304,microcystin,0.2,0.006591406,0.135176695,0.197266788,0.090428056
18046138,Delta Steam Plant Reservoir,-90.7020276,33.79161334,microcystin,0.2,0.181007835,0.986762632,0.997900004,0.921221032
18055988,Lake Paradise,-91.17565113,33.47686627,microcystin,0.2,0.014867867,0.17317527,0.238868866,0.122637637
18093161,Big Creek Lake,-88.32823733,30.71867264,microcystin,0.2,0.000328311,0.111312491,0.170990062,0.070687148
18122260,Marsh Lake,-88.57919464,30.38533625,microcystin,0.2,0.001049382,0.113859805,0.173817276,0.072762895
1813525,Gile Flowage 70,-90.23820569,46.38375278,microcystin,0.2,0.002326167,0.118494948,0.17894441,0.07656183
18225729,Lake Tuscaloosa,-87.58263301,33.34546564,microcystin,0.2,0.000436029,0.111689835,0.171409334,0.070994072
18300278,Big Sandy Reservoir,-109.4346462,42.27144044,microcystin,0.2,0.026226534,0.238367884,0.312280931,0.177435511
18300318,Eden Reservoir Number 1,-109.3703121,42.22479539,microcystin,0.2,0.066245071,0.563012835,0.69788241,0.418134272
18324360,New Fork Lakes,-109.9556236,43.09139096,microcystin,0.2,0.001584742,0.115783792,0.175948032,0.07433647
18327300,Half Moon Lake,-109.737925,42.926621,microcystin,0.2,0.002373926,0.11867146,0.179139259,0.076707026
18327540,Boulder Lake,-109.6649554,42.84626934,microcystin,0.2,0.002779905,0.1201811,0.180804642,0.077950336
18352151,Fontenelle Reservoir,-110.1204713,42.05444159,microcystin,0.2,0.012080554,0.159514172,0.223876242,0.111008978
18352163,Fontenelle Reservoir,-110.113403,42.06476124,microcystin,0.2,0.008446079,0.143028395,0.205852202,0.097034998
18352167,Fontenelle Reservoir,-110.0628185,42.03848626,microcystin,0.2,0.012458326,0.161313219,0.225846378,0.112539129
18383141,Groundhog Reservoir,-108.2975883,37.79794624,microcystin,0.2,0.001004307,0.113699094,0.173639118,0.072631675
18415569,Old Hickory Lake,-86.32973434,36.30163574,microcystin,0.2,0.002878346,0.120549645,0.181210922,0.078254265
18438992,Patoka Lake,-86.62380091,38.39891435,microcystin,0.2,0.000664755,0.11249478,0.17230317,0.071649461
18443736,Monroe Lake,-86.37838834,39.07932605,microcystin,0.2,0.038236708,0.323666804,0.413995221,0.244813328
18469416,Lake Lemon,-86.39131286,39.25789525,microcystin,0.2,0.037732171,0.319773796,0.409246184,0.24185421
18474509,Prairie Creek Reservoir,-85.288173,40.12476091,microcystin,0.2,0.003394169,0.122496758,0.183355642,0.079862542
18487094,Lake Maxinkuckee,-86.40473881,41.20469767,microcystin,0.2,0.000371817,0.11146476,0.17115927,0.070810977
1849501,Namakagon Lake,-91.08761379,46.20825836,microcystin,0.2,0.014576679,0.171705941,0.237252196,0.12138644
1849589,Bardon Lake,-91.87939786,46.20579388,microcystin,0.2,0.00064464,0.112423789,0.172224369,0.071591624
1849955,Nelson Lake,-91.49395703,46.09241409,microcystin,0.2,0.017077921,0.184652086,0.251540649,0.132403731
18521051,Grand Bay,-87.99452128,30.76332812,microcystin,0.2,0.016198197,0.180014634,0.246410306,0.128459719
1855289,Middle McKenzie Lake,-92.04093299,45.94332835,microcystin,0.2,0.004554938,0.126977488,0.188281101,0.083578888
1855411,McKenzie Lake,-92.03117178,45.91672078,microcystin,0.2,0.009300618,0.146772145,0.20994322,0.100198329
18690687,Bay Springs Lake,-88.31369977,34.57401685,microcystin,0.2,0.000652414,0.112451221,0.17225482,0.071613973
18714340,False River,-91.47159177,30.62225296,microcystin,0.2,0.026563822,0.24053986,0.314794149,0.179219608
1873471,Sturgeon Lake/North Lake,-92.67933506,44.6581399,microcystin,0.2,0.008332742,0.142537884,0.205316138,0.096621102
1874843,Lake Pepin,-92.38311685,44.55816671,microcystin,0.2,0.004666272,0.127414534,0.188760867,0.083942457
187905,Marston Lake,-105.0679759,39.62961425,microcystin,0.2,0.001104972,0.114058283,0.174037262,0.072925
188031,Chatfield Lake,-105.0663392,39.55075894,microcystin,0.2,0.001029215,0.113787875,0.173737541,0.07270416
18880944,Tuttle Creek Lake,-96.61821864,39.28762063,microcystin,0.2,0.001663158,0.116067964,0.176262426,0.074569292
1890272,Clifton Court Forebay,-121.5755685,37.83848401,microcystin,0.2,0.00155899,0.1156906,0.175844911,0.07426014
18950909,Cedar Bluff Reservoir,-99.78161827,38.78614015,microcystin,0.2,0.013547492,0.166591846,0.231633717,0.117031726
19016317,Lovewell Reservoir,-98.05616188,39.89431539,microcystin,0.2,0.061454884,0.520992301,0.651383605,0.387676533
19040443,Harlan County Lake,-99.29220135,40.06311139,microcystin,0.2,0.004052416,0.125020734,0.186131715,0.081953411
19080361,Enders Reservoir,-101.5374228,40.43809897,microcystin,0.2,0.018458075,0.192112834,0.259826548,0.138738323
19085027,Monday Lake,-91.56929459,30.83262403,microcystin,0.2,0.009580044,0.148013799,0.211300031,0.10124904
19091673,Swanson Lake,-101.1118762,40.15714842,microcystin,0.2,0.009855888,0.149248032,0.212648805,0.102294172
19244031,Swan Lake,-99.85985533,45.29322276,microcystin,0.2,0.045751185,0.384317848,0.488458033,0.289802027
19251179,Lake Oahe,-100.7008666,44.64709591,microcystin,0.2,0.001424336,0.115204374,0.175306743,0.073862073
19266986,Yucatan Lake,-91.10538128,32.03830007,microcystin,0.2,0.006687298,0.135573571,0.19770108,0.090760991
19300897,Lake Chicot,-91.25641836,33.28641556,microcystin,0.2,0.019744094,0.199269516,0.267815679,0.144797879
19301657,Grand Lake,-91.2023081,33.05951073,microcystin,0.2,0.094390394,0.777059379,0.892553888,0.593903291
19333025,Kennebago Lake,-70.71754544,45.09086861,microcystin,0.2,0.001422055,0.115196154,0.175297643,0.073855347
19333611,Rangeley Lake,-70.69396975,44.94495707,microcystin,0.2,0.001069366,0.11393112,0.173896324,0.072821135
19382297,Caney Creek Reservoir,-92.53014846,32.2377093,microcystin,0.2,0.000544243,0.112070037,0.171831615,0.071303522
19405648,Larto Lake,-91.90090138,31.37209099,microcystin,0.2,0.002925215,0.120725453,0.181404693,0.078399305
19566308,Cedar Creek Reservoir,-87.92521723,34.52924,microcystin,0.2,0.000473313,0.111820701,0.171554702,0.071100562
19598582,White Lake (historical),-88.11714636,34.82778986,microcystin,0.2,0.001950141,0.117113139,0.177418088,0.075426482
19605147,Tims Ford Lake,-86.21328123,35.22614897,microcystin,0.2,0.00124815,0.114570869,0.174605203,0.073343891
19647430,Limestone Creek,-86.8407386,34.59968201,microcystin,0.2,0.018177947,0.190580166,0.258120947,0.137438293
